station,station_clean,row_count,mapped_station,score,include_station,remarks
KENNEDY BD STATION,KENNEDY BD,9893,Kennedy,95,1,BD is for Bloor Danforth
FINCH STATION,FINCH,9467,Finch,100,1,
KIPLING STATION,KIPLING,9436,Kipling,100,1,
BLOOR STATION,BLOOR,7306,Bloor–Yonge,90,1,
EGLINTON STATION,EGLINTON,6628,Eglinton,100,1,
WARDEN STATION,WARDEN,5629,Warden,100,1,
WILSON STATION,WILSON,5480,Wilson,100,1,
SHEPPARD WEST STATION,SHEPPARD WEST,5083,Sheppard West,100,1,
VICTORIA PARK STATION,VICTORIA PARK,4750,Victoria Park,100,1,
KEELE STATION,KEELE,4622,Keele,100,1,
ISLINGTON STATION,ISLINGTON,4483,Islington,100,1,
VAUGHAN MC STATION,VAUGHAN MC,4388,Vaughan,95,1,
DUNDAS STATION,DUNDAS,4383,Dundas West,90,1,
YONGE BD STATION,YONGE BD,4381,Sheppard–Yonge,86,1,BD is for Bloor-Danforth
YONGE UNIVERSITY LINE,YONGE UNIVERSITY LINE,4245,Sheppard–Yonge,86,1,
COXWELL STATION,COXWELL,4130,Coxwell,100,1,
UNION STATION,UNION,4076,Union,100,1,
ST GEORGE YUS STATION,ST GEORGE YUS,4017,St. George,95,1,YUS is for Yonge University
DAVISVILLE STATION,DAVISVILLE,3831,Davisville,100,1,
ST CLAIR WEST STATION,ST CLAIR WEST,3761,St. Clair West,96,1,
ST GEORGE BD STATION,ST GEORGE BD,3552,St. George,95,1,BD is for Bloor Danforth
YORK MILLS STATION,YORK MILLS,3470,York Mills,100,1,
LAWRENCE STATION,LAWRENCE,3387,Lawrence,100,1,
ST CLAIR STATION,ST CLAIR,3323,St. Clair,95,1,
COLLEGE STATION,COLLEGE,3185,College,100,1,
SHEPPARD STATION,SHEPPARD,3167,Sheppard–Yonge,90,1,
JANE STATION,JANE,3118,Jane,100,1,
WELLESLEY STATION,WELLESLEY,3098,Wellesley,100,1,
DUNDAS WEST STATION,DUNDAS WEST,3048,Dundas West,100,1,
GREENWOOD STATION,GREENWOOD,3024,Greenwood,100,1,
QUEEN STATION,QUEEN,2915,Queen,100,1,
BROADVIEW STATION,BROADVIEW,2841,Broadview,100,1,
MAIN STREET STATION,MAIN STREET,2764,Main Street,100,1,
OSSINGTON STATION,OSSINGTON,2740,Ossington,100,1,
SPADINA BD STATION,SPADINA BD,2696,Spadina,95,1,BD is for Bloor Danforth
BLOOR DANFORTH SUBWAY,BLOOR DANFORTH SUBWAY,2628,Bloor–Yonge,86,1,
EGLINTON WEST STATION,EGLINTON WEST,2591,Eglinton,90,1,
BATHURST STATION,BATHURST,2566,Bathurst,100,1,
ROYAL YORK STATION,ROYAL YORK,2454,Royal York,100,1,
PAPE STATION,PAPE,2431,Pape,100,1,
ROSEDALE STATION,ROSEDALE,2431,Rosedale,100,1,
DONLANDS STATION,DONLANDS,2427,Donlands,100,1,
CHRISTIE STATION,CHRISTIE,2414,Christie,100,1,
WOODBINE STATION,WOODBINE,2403,Woodbine,100,1,
DON MILLS STATION,DON MILLS,2401,Don Mills,100,1,
SHERBOURNE STATION,SHERBOURNE,2383,Sherbourne,100,1,
OLD MILL STATION,OLD MILL,2295,Old Mill,100,1,
LAWRENCE WEST STATION,LAWRENCE WEST,2248,Lawrence West,100,1,
SPADINA YUS STATION,SPADINA YUS,2235,Spadina,90,1,YUS is Yonge University
DUPONT STATION,DUPONT,2156,Dupont,100,1,
YORKDALE STATION,YORKDALE,2146,Yorkdale,100,1,
KING STATION,KING,2121,King,100,1,
DUFFERIN STATION,DUFFERIN,2099,Dufferin,100,1,
NORTH YORK CTR STATION,NORTH YORK CTR,2017,North York Centre,90,1,
MCCOWAN STATION,MCCOWAN,1923,Jane,60,0,station closed
YONGE-UNIVERSITY AND B,YONGE-UNIVERSITY AND B,1877,Sheppard–Yonge,86,1,
BAY STATION,BAY,1859,Bay,100,1,
CHESTER STATION,CHESTER,1765,Chester,100,1,
QUEEN'S PARK STATION,QUEEN'S PARK,1739,Queen's Park,100,1,
ST PATRICK STATION,ST PATRICK,1732,St. Patrick,95,1,
SUMMERHILL STATION,SUMMERHILL,1695,Summerhill,100,1,
SHEPPARD-YONGE STATION,SHEPPARD-YONGE,1656,Sheppard–Yonge,100,1,
HIGH PARK STATION,HIGH PARK,1617,High Park,100,1,
CASTLE FRANK STATION,CASTLE FRANK,1616,Castle Frank,100,1,
ST ANDREW STATION,ST ANDREW,1605,St. Andrew,95,1,
MUSEUM STATION,MUSEUM,1585,Museum,100,1,
OSGOODE STATION,OSGOODE,1553,Osgoode,100,1,
GLENCAIRN STATION,GLENCAIRN,1504,Glencairn,100,1,
LANSDOWNE STATION,LANSDOWNE,1463,Lansdowne,100,1,
KENNEDY SRT STATION,KENNEDY SRT,1430,Kennedy,90,1,
RUNNYMEDE STATION,RUNNYMEDE,1392,Runnymede,100,1,
YONGE SHP STATION,YONGE SHP,1331,Sheppard–Yonge,86,1,
LESLIE STATION,LESLIE,1261,Leslie,100,1,
FINCH WEST STATION,FINCH WEST,1161,Finch West,100,1,
BAYVIEW STATION,BAYVIEW,1115,Bayview,100,1,
YUS/BD/SHEPPARD SUBWAY,YUS/BD/SHEPPARD SUBWAY,1074,Sheppard–Yonge,86,1,
HIGHWAY 407 STATION,HIGHWAY 407,954,Highway 407,100,1,
PIONEER VILLAGE STATIO,PIONEER VILLAGE,875,Pioneer Village,100,1,
LAWRENCE EAST STATION,LAWRENCE EAST,794,Lawrence West,92,1,
DOWNSVIEW PARK STATION,DOWNSVIEW PARK,792,Downsview Park,100,1,
GREENWOOD YARD,GREENWOOD YARD,701,Greenwood,90,,
TORONTO TRANSIT COMMIS,TORONTO TRANSIT COMMIS,658,Tobermory,55,,
BESSARION STATION,BESSARION,652,Bessarion,100,1,
YORK UNIVERSITY STATIO,YORK UNIVERSITY,618,York University,100,1,
SCARB CTR STATION,SCARB CTR,541,St. Clair West,52,0,station closed (SRT line)
VMC STATION,VMC,533,Vaughan,60,1,VMC stand for Vaughan Metropolitan Centre
MIDLAND STATION,MIDLAND,503,Milvan Rumike,69,,
SCARBOROUGH CTR STATIO,SCARBOROUGH CTR,491,St. Clair,55,0,station closed
ELLESMERE STATION,ELLESMERE,455,Emery,72,0,station closed
KENNEDY SRT STATION TO,KENNEDY SRT TO,359,Kennedy,90,0,
WILSON YARD,WILSON YARD,346,Wilson,90,,
SCARBOROUGH RAPID TRAN,SCARBOROUGH RAPID TRAN,292,Jane,60,,
DAVISVILLE YARD,DAVISVILLE YARD,278,Davisville,90,,
WILSON HOSTLER,WILSON HOSTLER,248,Wilson,90,,
MCCOWAN STATION TO KEN,MCCOWAN TO KEN,225,Kennedy,54,,
GREENWOOD WYE,GREENWOOD WYE,164,Greenwood,95,0,in between station to allow train to go to Greenwood Subway Yard
BLOOR DANFORTH LINE,BLOOR DANFORTH LINE,143,Bloor–Yonge,86,,
YONGE UNIVERSITY SUBWA,YONGE UNIVERSITY SUBWA,143,Sheppard–Yonge,86,,
WILSON CARHOUSE,WILSON CARHOUSE,129,Wilson,90,,
GREENWOOD CARHOUSE,GREENWOOD CARHOUSE,122,Greenwood,90,,
SRT LINE,SRT LINE,112,Sentinel,62,,
MCCOWAN YARD,MCCOWAN YARD,99,Laird,68,,
KEELE YARD,KEELE YARD,89,Keele,90,,
TMU STATION,TMU,88,TMU,100,1,
DAVISVILLE HOSTLER,DAVISVILLE HOSTLER,76,Davisville,90,,
KENNEDY STATION,KENNEDY,70,Kennedy,100,1,
GREENWOOD PORTAL,GREENWOOD PORTAL,68,Greenwood,90,,
YONGE/UNIVERSITY AND B,YONGE/UNIVERSITY AND B,67,Sheppard–Yonge,86,,
SPADINA STATION,SPADINA,58,Spadina,100,1,
KENNEDY SRT TO LAWRENC,KENNEDY SRT TO LAWRENC,56,Kennedy,90,,
DAVISVILLE BUILD UP,DAVISVILLE BUILD UP,53,Davisville,90,,
EGLINTON STATION (MIGR,EGLINTON (MIGR,53,Eglinton,90,,
YONGE-UNIVERSITY SUBWA,YONGE-UNIVERSITY SUBWA,53,Sheppard–Yonge,86,,
CEDARVALE YU STATION,CEDARVALE YU,52,Cedarvale,95,1,YU?
YONGE UNIVERSITY AND B,YONGE UNIVERSITY AND B,51,Sheppard–Yonge,86,,
UNION STATION TO KING,UNION TO KING,50,King,90,,
LINE 1 YONGE UNIVERSIT,LINE 1 YONGE UNIVERSIT,47,Sheppard–Yonge,86,,
EGLINTON STATION (APPR,EGLINTON (APPR,46,Eglinton,90,,
UNION STATION TO ST AN,UNION TO ST AN,44,Union,90,,
DAVISVILLE CARHOUSE,DAVISVILLE CARHOUSE,42,Davisville,90,,
DANFORTH DIVISION,DANFORTH DIVISION,41,Union,68,,
YONGE SHEP STATION,YONGE SHEP,40,Sheppard–Yonge,79,,
LINE 1 - YONGE UNIVERS,LINE 1 - YONGE UNIVERS,39,Sheppard–Yonge,86,,
LINE 2 BLOOR DANFORTH,LINE 2 BLOOR DANFORTH,37,Bloor–Yonge,86,,
YONGE STATION,YONGE,36,Sheppard–Yonge,90,1,
YONGE-UNIVERSITY LINE,YONGE-UNIVERSITY LINE,31,Sheppard–Yonge,86,,
LINE 1 - YONGE-UNIVERS,LINE 1 - YONGE-UNIVERS,30,Sheppard–Yonge,86,,
YU/DB/SHEPPARD SUBWAY,YU/DB/SHEPPARD SUBWAY,30,Sheppard–Yonge,86,,
GREENWOOD SHOP,GREENWOOD SHOP,29,Greenwood,90,,
YONGE UNIVERSITY SPADI,YONGE UNIVERSITY SPADI,29,Sheppard–Yonge,86,,
YUS/BD/SEPPARD SUBWAY,YUS/BD/SEPPARD SUBWAY,29,Bay,72,,
SHEPPARD LINE,SHEPPARD LINE,28,Sheppard–Yonge,81,,
TRANSIT CONTROL CENTRE,TRANSIT CONTROL CENTRE,26,North York Centre,62,,
GUNN BUILDING,GUNN BUILDING,25,King,77,,
NORTH YORK CENTRE STAT,NORTH YORK CENTRE STAT,24,North York Centre,95,1,
LAWRENCE EAST TO KENNE,LAWRENCE EAST TO KENNE,23,Lawrence,90,,
LINE 3 - SCARBOROUGH R,LINE 3 - SCARBOROUGH R,23,Albion,60,,
DAVISVILLE BUILD-UP,DAVISVILLE BUILD-UP,22,Davisville,90,,
BLOOR-DANFORTH LINE,BLOOR-DANFORTH LINE,21,Bloor–Yonge,86,,
GREENWOOD SHOPS,GREENWOOD SHOPS,21,Greenwood,90,,
MCBRIEN BUILDING,MCBRIEN BUILDING,21,King,77,,
YONGE AND BLOOR,YONGE AND BLOOR,21,Bloor–Yonge,95,1,
EGLINTON MIGRATION,EGLINTON MIGRATION,19,Eglinton,90,,
KENNEDY SRT TO LAWREN,KENNEDY SRT TO LAWREN,19,Kennedy,90,,
ST. GEORGE STATION,ST. GEORGE,19,St. George,100,1,
UNION TO ST ANDREW,UNION TO ST ANDREW,19,Union,90,,
YONGE-UNIVERSITY & BLO,YONGE-UNIVERSITY & BLO,19,Sheppard–Yonge,86,,
DAVISVILLE BUILDUP,DAVISVILLE BUILDUP,17,Davisville,90,,
UNION STATION (TO KING,UNION (TO KING,17,King,90,,
EGLINTON (MIGRATION),EGLINTON (MIGRATION),16,Eglinton,90,,
LINE 1,LINE 1,16,Signet Arrow,60,,
LINE 3 SCARBOROUGH SRT,LINE 3 SCARBOROUGH SRT,16,Albion,60,,
ST GEORGE STATION,ST GEORGE,16,St. George,95,1,
FINCH TO EGLINTON STAT,FINCH TO EGLINTON STAT,15,Finch,90,,
BAY LOWER,BAY LOWER,14,Bay,90,,
SHEPPARD WEST TO WILSO,SHEPPARD WEST TO WILSO,14,Sheppard West,90,,
ST GEORGE YU STATION,ST GEORGE YU,14,St. George,95,1,YU?
TRANSIT CONTROL,TRANSIT CONTROL,14,O'Connor,61,,
LAWRENCE TO ST CLAIR S,LAWRENCE TO ST CLAIR S,13,Lawrence,90,,
MCCOWAN CARHOUSE,MCCOWAN CARHOUSE,13,Museum,60,,
UNION TO KING,UNION TO KING,13,King,90,,
VICTORIA PARK TO KENNE,VICTORIA PARK TO KENNE,13,Victoria Park,90,,
LINE 1- YONGE UNIVERSI,LINE 1- YONGE UNIVERSI,12,Sheppard–Yonge,86,,
LINE 2 - BLOOR-DANFORT,LINE 2 - BLOOR-DANFORT,12,Bloor–Yonge,86,,
ST. CLAIR STATION,ST. CLAIR,12,St. Clair,100,1,
UNION STATION TOWARDS,UNION TOWARDS,12,Union,90,,
WILSON DIVISION,WILSON DIVISION,12,Wilson,90,,
INGLIS BUILDING,INGLIS BUILDING,11,King,77,,
LINE 1 YONGE-UNIVERSIT,LINE 1 YONGE-UNIVERSIT,11,Sheppard–Yonge,86,,
LINE 2 - BLOOR - DANFO,LINE 2 - BLOOR - DANFO,11,Bloor–Yonge,86,,
OSSINGTON CENTRE TRACK,OSSINGTON CENTRE TRACK,11,Ossington,90,,
QUEENS PARK STATION,QUEENS PARK,11,Queen's Park,96,1,
ST CLAIR STATION TO SH,ST CLAIR TO SH,11,St. Clair,86,,
ST. ANDREW STATION,ST. ANDREW,11,St. Andrew,100,1,
SYSTEM WIDE,SYSTEM WIDE,11,TMU,60,,
WILSON SOUTH HOSTLER,WILSON SOUTH HOSTLER,11,Wilson,90,,
YONGE-UNIVERSITY/BLOOR,YONGE-UNIVERSITY/BLOOR,11,Sheppard–Yonge,86,,
YORK MILLS STATION (AP,YORK MILLS (AP,11,York Mills,95,1,
EGLINTON MIGRATION POI,EGLINTON MIGRATION POI,10,Eglinton,90,,
FINCH STATION TO EGLIN,FINCH TO EGLIN,10,Finch,90,,
KIPLING STATION (APPRO,KIPLING (APPRO,10,Kipling,90,,
SHEPPARD WEST MIGRATIO,SHEPPARD WEST MIGRATIO,10,Sheppard West,90,,
ST. CLAIR WEST STATION,ST. CLAIR WEST,10,St. Clair West,100,1,
UNION TO KING STATION,UNION TO KING,10,King,90,,
YONGE- UNIVERSITY AND,YONGE- UNIVERSITY AND,10,Sheppard–Yonge,86,,
BLOOR DANFORTH LINE 2,BLOOR DANFORTH LINE 2,9,Bloor–Yonge,86,,
BLOOR-DANFORTH SUBWAY,BLOOR-DANFORTH SUBWAY,9,Bloor–Yonge,86,,
EGLINTON TO BLOOR STAT,EGLINTON TO BLOOR STAT,9,Eglinton,90,,
GREENWOOD COMPLEX,GREENWOOD COMPLEX,9,Greenwood,90,,
KENNEDY TO LAWRENCE EA,KENNEDY TO LAWRENCE EA,9,Lawrence,90,,
LINE 1 - YONGE - UNIVE,LINE 1 - YONGE - UNIVE,9,Sheppard–Yonge,86,,
SHEPPARD WEST TO ST CL,SHEPPARD WEST TO ST CL,9,Sheppard West,90,,
UNION TO KING STATIONS,UNION TO KINGS,9,King,90,,
YONGE-UNIVERSITY-SPADI,YONGE-UNIVERSITY-SPADI,9,Sheppard–Yonge,86,,
YONGE/UNIVERSITY LINE,YONGE/UNIVERSITY LINE,9,Sheppard–Yonge,86,,
YORK MILLS TO ST CLAIR,YORK MILLS TO ST CLAIR,9,York Mills,90,,
GREENWOOD CAR HOUSE,GREENWOOD CAR HOUSE,8,Greenwood,90,,
KEELE TO HIGH PARK,KEELE TO HIGH PARK,8,High Park,90,,
KING STATION TO SPADIN,KING TO SPADIN,8,King,90,,
LINE 1 YUS,LINE 1 YUS,8,Albion,60,,
LINE 2 BLOOR-DANFORTH,LINE 2 BLOOR-DANFORTH,8,Bloor–Yonge,86,,
LINE 3 SCARBOROUGH,LINE 3 SCARBOROUGH,8,Albion,60,,
LINE 3 SRT,LINE 3 SRT,8,Albion,60,,
OSGOODE POCKET,OSGOODE POCKET,8,Osgoode,90,,
ST CLAIR TO LAWRENCE S,ST CLAIR TO LAWRENCE S,8,Lawrence,90,,
ST GEORGE TO BROADVIEW,ST GEORGE TO BROADVIEW,8,Broadview,90,,
UNION STATION (TO ST A,UNION (TO ST A,8,Union,90,,
UNION STATION TO ST. A,UNION TO ST. A,8,Union,90,,
UNION TO ST ANDREW STA,UNION TO ST ANDREW STA,8,Union,90,,
VICTORIA PARK TO WARDE,VICTORIA PARK TO WARDE,8,Victoria Park,90,,
WILSON GARAGE,WILSON GARAGE,8,Wilson,90,,
YONGE- UNIVERSITY SUBW,YONGE- UNIVERSITY SUBW,8,Sheppard–Yonge,86,,
YONGE/UNIVERSITY/SPADI,YONGE/UNIVERSITY/SPADI,8,Sheppard–Yonge,86,,
BROADVIEW CENTRE TRACK,BROADVIEW CENTRE TRACK,7,Broadview,90,,
FINCH STATION PLATFORM,FINCH PLATFORM,7,Finch,90,,
JANE TO OSSINGTON,JANE TO OSSINGTON,7,Jane,90,,
JANE TO OSSINGTON STAT,JANE TO OSSINGTON STAT,7,Jane,90,,
KENNEDY TO MCCOWAN,KENNEDY TO MCCOWAN,7,Kennedy,90,,
KENNEDY TO VICTORIA PA,KENNEDY TO VICTORIA PA,7,Kennedy,90,,
KIPLING TO ISLINGTON,KIPLING TO ISLINGTON,7,Kipling,90,,
KIPLING TO JANE STATIO,KIPLING TO JANE,7,Kipling,90,,
LINE 4,LINE 4,7,Signet Arrow,60,,
PIONEER VILLAGE TO VAU,PIONEER VILLAGE TO VAU,7,Pioneer Village,95,,
ST CLAIR WEST TO UNION,ST CLAIR WEST TO UNION,7,Union,90,,
SYSTEMWIDE,SYSTEMWIDE,7,TMU,60,,
UNION STATION - ST AND,UNION - ST AND,7,Union,90,,
WOODBINE TO KENNEDY,WOODBINE TO KENNEDY,7,Woodbine,90,,
YONGE UNIVESITY LINE,YONGE UNIVESITY LINE,7,Bloor–Yonge,86,,
BAY LOWER STATION,BAY LOWER,6,Bay,90,,
EGLINTON STATION TO CO,EGLINTON TO CO,6,Eglinton,90,,
FINCH TO SHEPPARD STAT,FINCH TO SHEPPARD STAT,6,Finch,90,,
KENNEDY BD STATION (AP,KENNEDY BD (AP,6,Kennedy,90,,
KING TO UNION,KING TO UNION,6,King,90,,
KIPLING STATION (ENTER,KIPLING (ENTER,6,Kipling,90,,
LINE 2- BLOOR DANFORTH,LINE 2- BLOOR DANFORTH,6,Bloor–Yonge,86,,
LINE 3,LINE 3,6,Signet Arrow,60,,
SCARBOROUGH CENTRE STA,SCARBOROUGH CENTRE STA,6,St. George,57,,
SHEPPARD STATION TO EG,SHEPPARD TO EG,6,Sheppard–Yonge,79,,
SHEPPARD TO EGLINTON S,SHEPPARD TO EGLINTON S,6,Eglinton,90,,
SHEPPARD WEST PORTAL,SHEPPARD WEST PORTAL,6,Sheppard West,90,,
SHEPPARD WEST TO FINCH,SHEPPARD WEST TO FINCH,6,Finch,90,,
ST CLAIR WEST TO ST AN,ST CLAIR WEST TO ST AN,6,St. Clair West,87,,
ST. PATRICK STATION,ST. PATRICK,6,St. Patrick,100,1,
UNION STATION (TOWARDS,UNION (TOWARDS,6,Union,90,,
UNION STATION TO FINCH,UNION TO FINCH,6,Finch,90,,
WILSON CAR HOUSE,WILSON CAR HOUSE,6,Wilson,90,,
WILSON TO SHEPPARD WES,WILSON TO SHEPPARD WES,6,Wilson,90,,
YONGE - UNIVERSITY AND,YONGE - UNIVERSITY AND,6,Sheppard–Yonge,86,,
YONGE UNIVERSITY/BLOOR,YONGE UNIVERSITY/BLOOR,6,Sheppard–Yonge,86,,
BROADVIEW STATION TO W,BROADVIEW TO W,5,Broadview,90,,
CHRISTIE STATION (APPR,CHRISTIE (APPR,5,Christie,90,,
DUNCAN SHOP,DUNCAN SHOP,5,Duncanwoods,64,,
DUPONT STATION (APPROA,DUPONT (APPROA,5,Dupont,90,,
EGLINTON BUS TERMINAL,EGLINTON BUS TERMINAL,5,Eglinton,90,,
EGLINTON TO FINCH,EGLINTON TO FINCH,5,Finch,90,,
FINCH STATION TO ST CL,FINCH TO ST CL,5,Finch,90,,
FINCH TO EGLINTON,FINCH TO EGLINTON,5,Finch,90,,
HARVEY SHOP,HARVEY SHOP,5,Warden,49,,
HIGH PARK TO KEELE,HIGH PARK TO KEELE,5,High Park,90,,
KENNEDY SRT STATION (A,KENNEDY SRT (A,5,Kennedy,90,,
KIPLING TO ISLINGTON S,KIPLING TO ISLINGTON S,5,Kipling,90,,
KIPLING TO KEELE,KIPLING TO KEELE,5,Kipling,90,,
LEASIDE STATION,LEASIDE,5,Leaside,100,1,
LYTTON EMERGENCY EXIT,LYTTON EMERGENCY EXIT,5,Emery,76,,
QUEENS QUAY STATION,QUEENS QUAY,5,Queen,90,,
SHEPPARD WYE,SHEPPARD WYE,5,Sheppard West,88,,
SPADINA YU STATION,SPADINA YU,5,Spadina,95,,
ST ANDREW TO ST GEORGE,ST ANDREW TO ST GEORGE,5,St. Clair,86,,
ST CLAIR WEST TO KING,ST CLAIR WEST TO KING,5,King,90,,
ST GEORGE TO WOODBINE,ST GEORGE TO WOODBINE,5,Woodbine,90,,
UNION STATION (ST ANDR,UNION (ST ANDR,5,Union,90,,
WARDEN TO KENNEDY,WARDEN TO KENNEDY,5,Warden,90,,
WILSON STATION (APPROA,WILSON (APPROA,5,Wilson,90,,
YONGE - UNIVERSITY LIN,YONGE - UNIVERSITY LIN,5,Sheppard–Yonge,86,,
YONGE / UNIVERSITY LIN,YONGE / UNIVERSITY LIN,5,Sheppard–Yonge,86,,
YORK MILLS CENTRE TRAC,YORK MILLS CENTRE TRAC,5,York Mills,90,,
ASQUITH SUBSTATION,ASQUITH SUBSTATION,4,Union,68,,
BLOOR TO EGLINTON,BLOOR TO EGLINTON,4,Eglinton,90,,
BROADVIEW TO WOODBINE,BROADVIEW TO WOODBINE,4,Broadview,90,,
CHESTER CENTRE TRACK,CHESTER CENTRE TRACK,4,Chester,90,,
DOWNSVIEW STATION,DOWNSVIEW,4,Downsview Park,90,,
EGLINTON STATION (LEAV,EGLINTON (LEAV,4,Eglinton,90,,
EGLINTON STATION TO SH,EGLINTON TO SH,4,Eglinton,90,,
FINCH TO ST CLAIR STAT,FINCH TO ST CLAIR STAT,4,Finch,90,,
ISLINGTON STATION (APP,ISLINGTON (APP,4,Islington,90,,
KEELE STATION - KIPLIN,KEELE - KIPLIN,4,Keele,90,,
KENNEDY SRT STATION (E,KENNEDY SRT (E,4,Kennedy,90,,
KENNEDY SRT STATION (L,KENNEDY SRT (L,4,Kennedy,90,,
KENNEDY STATION TO KIP,KENNEDY TO KIP,4,Kennedy,90,,
KING TO EGLINTON STATI,KING TO EGLINTON STATI,4,Eglinton,90,,
KIPLING STATION (PLATF,KIPLING (PLATF,4,Kipling,90,,
KIPLING STATION TO KEN,KIPLING TO KEN,4,Kipling,90,,
KIPLING TO ROYAL YORK,KIPLING TO ROYAL YORK,4,Kipling,90,,
LAWRENCE TO BLOOR STAT,LAWRENCE TO BLOOR STAT,4,Lawrence,90,,
LINE 1 - YONGE/UNIVERS,LINE 1 - YONGE/UNIVERS,4,Sheppard–Yonge,86,,
LINE 1 YONGE- UNIVERSI,LINE 1 YONGE- UNIVERSI,4,Sheppard–Yonge,86,,
ROYAL YORK STATION (AP,ROYAL YORK (AP,4,Royal York,95,,
SHEPPARD WEST TO LAWRE,SHEPPARD WEST TO LAWRE,4,Sheppard West,90,,
SOUTH HOSTLER,SOUTH HOSTLER,4,Chester,64,,
SPADINA TO ST ANDREW S,SPADINA TO ST ANDREW S,4,Spadina,90,,
ST CLAIR STATION (APPR,ST CLAIR (APPR,4,St. Clair,86,,
ST CLAIR TO YORK MILLS,ST CLAIR TO YORK MILLS,4,York Mills,90,,
TEDDINGTON EE,TEDDINGTON EE,4,King,68,,
TORONTO TRANSIT CONTRO,TORONTO TRANSIT CONTRO,4,O'Connor,61,,
TRACK LEVEL ACTIVITY,TRACK LEVEL ACTIVITY,4,Keele,54,,
VMC TO EGLINTON STATIO,VMC TO EGLINTON,4,Eglinton,90,,
WARDEN STATION (LEAVIN,WARDEN (LEAVIN,4,Warden,90,,
WARDEN TO VICTORIA PAR,WARDEN TO VICTORIA PAR,4,Warden,90,,
WILSON HOSLTER,WILSON HOSLTER,4,Wilson,90,,
WILSON NORTH HOSTLER,WILSON NORTH HOSTLER,4,Wilson,90,,
WILSON TRACK AND STRUC,WILSON TRACK AND STRUC,4,Wilson,90,,
WOODBINE STATION (APPR,WOODBINE (APPR,4,Woodbine,90,,
WOODBINE STATION (LEAV,WOODBINE (LEAV,4,Woodbine,90,,
YONGE -UNIVERSITY AND,YONGE -UNIVERSITY AND,4,Sheppard–Yonge,86,,
YONGE-UNIVERSITY,YONGE-UNIVERSITY,4,York University,84,,
YORK MILLS STATION (LE,YORK MILLS (LE,4,York Mills,95,,
BLOOR TO SHEPPARD STAT,BLOOR TO SHEPPARD STAT,3,Sheppard–Yonge,86,,
BLOOR VIADUCT,BLOOR VIADUCT,3,Bloor–Yonge,59,,
BROADVIEW TO ST GEORGE,BROADVIEW TO ST GEORGE,3,Broadview,90,,
CHESTER TO BROADVIEW,CHESTER TO BROADVIEW,3,Broadview,90,,
CHRISTIE TO PAPE STATI,CHRISTIE TO PAPE STATI,3,Christie,90,,
