station,station_clean,row_count,mapped_station,score,include_station,remarks
BROADVIEW TO ST. GEORG,BROADVIEW TO ST. GEORG,1,Broadview,90,,
BROADVIEW TO YONGE STA,BROADVIEW TO YONGE STA,1,Broadview,90,,
BRUNSWICK AND BLOOR,BRUNSWICK AND BLOOR,1,Bloor–Yonge,86,,
BUCHAN ESB,BUCHAN ESB,1,Jane,68,,
CALENDONIA STATION,CALENDONIA,1,Caledonia,95,,
CASTLE FRANK - BROADVI,CASTLE FRANK - BROADVI,1,Castle Frank,90,,
CASTLE FRANK TO SHERBO,CASTLE FRANK TO SHERBO,1,Castle Frank,90,,
CELEDONIA STATION,CELEDONIA,1,Caledonia,89,,
CHANGE OVERS,CHANGE OVERS,1,Jane,68,,
CHANGE OVERS LINE TWO,CHANGE OVERS LINE TWO,1,Jane,68,,
CHESTER STATION (ENTER,CHESTER (ENTER,1,Chester,90,,
CHESTER STATION (LEAVI,CHESTER (LEAVI,1,Chester,90,,
CHESTER TO CASTLEFRANK,CHESTER TO CASTLEFRANK,1,Chester,90,,
CHESTER TO WARDEN,CHESTER TO WARDEN,1,Chester,90,,
CHESTER TO YONGE STATI,CHESTER TO YONGE STATI,1,Chester,90,,
CHRISTIE - ST GEORGE S,CHRISTIE - ST GEORGE S,1,Christie,90,,
CHRISTIE CENTER,CHRISTIE CENTER,1,Christie,90,,
CHRISTIE CENTRE TRACK,CHRISTIE CENTRE TRACK,1,Christie,90,,
CHRSTIE TO PAPE STATIO,CHRSTIE TO PAPE,1,Pape,90,,
CHURCH EE,CHURCH EE,1,Humber College,52,,
CLANTON PARK,CLANTON PARK,1,Aga Khan Park & Museum,86,,
CLANTON PARK EMERGENCY,CLANTON PARK EMERGENCY,1,Queen's Park,86,,
CLANTON PARK PORTAL,CLANTON PARK PORTAL,1,Queen's Park,86,,
CLANTON PORTAL TO EGLI,CLANTON PORTAL TO EGLI,1,Eglinton,60,,
CLEAR FINCH STATION-PL,CLEAR FINCH-PL,1,Finch,90,,
CLOSURE FINCH TO ST CL,CLOSURE FINCH TO ST CL,1,Finch,90,,
CLOSURE- KEELE TO OSSI,CLOSURE- KEELE TO OSSI,1,Keele,90,,
CLOSURE- VICTORIA PARK,CLOSURE- VICTORIA PARK,1,Victoria Park,90,,
CLOSURES BUILDING,CLOSURES BUILDING,1,King,77,,
CNE EAST LOOP,CNE EAST LOOP,1,Jane,51,,
COLLEGE AND OSGOODE ST,COLLEGE AND OSGOODE ST,1,College,90,,
COLLEGE AND WELLESLEY,COLLEGE AND WELLESLEY,1,Wellesley,90,,
COLLEGE STATION LEAVIN,COLLEGE LEAVIN,1,College,90,,
COLLEGE STATION TO OSG,COLLEGE TO OSG,1,College,90,,
COLLEGE TO OSGOODE LIN,COLLEGE TO OSGOODE LIN,1,College,90,,
COLLEGE TO ST CLAIR,COLLEGE TO ST CLAIR,1,College,90,,
COLLEGE TO ST.CLAIR ST,COLLEGE TO ST.CLAIR ST,1,College,90,,
COXWELL STATION (ENTER,COXWELL (ENTER,1,Coxwell,90,,
COXWELL STATION (EXITI,COXWELL (EXITI,1,Coxwell,90,,
COXWELL STATION (LEAVI,COXWELL (LEAVI,1,Coxwell,90,,
COXWELL STATION APPROA,COXWELL APPROA,1,Coxwell,90,,
COXWELL TO GREENWOOD Y,COXWELL TO GREENWOOD Y,1,Greenwood,90,,
COXWELL TO KENNEDY,COXWELL TO KENNEDY,1,Coxwell,90,,
COXWELL TO KENNEDY STA,COXWELL TO KENNEDY STA,1,Coxwell,90,,
DANFORTH,DANFORTH,1,North York Centre,69,,
DANFORTH AND COXWELL,DANFORTH AND COXWELL,1,Coxwell,90,,
DAVENPORT BUILDING,DAVENPORT BUILDING,1,King,77,,
DAVISVILLE - ST. CLAIR,DAVISVILLE - ST. CLAIR,1,Davisville,90,,
DAVISVILLE BUID-UP,DAVISVILLE BUID-UP,1,Davisville,90,,
DAVISVILLE BUILDD UP,DAVISVILLE BUILDD UP,1,Davisville,90,,
DAVISVILLE OFFICES,DAVISVILLE OFFICES,1,Davisville,90,,
DAVISVILLE STATION (AP,DAVISVILLE (AP,1,Davisville,95,,
DAVISVILLE STATION (BU,DAVISVILLE (BU,1,Davisville,95,,
DAVISVILLE STATION - B,DAVISVILLE - B,1,Davisville,95,,
DAVISVILLE STATION - L,DAVISVILLE - L,1,Davisville,95,,
DAVISVILLE STATION TO,DAVISVILLE TO,1,Davisville,95,,
DAVISVILLE STRUCTURE,DAVISVILLE STRUCTURE,1,Davisville,90,,
DAVISVILLE TO LAWRENCE,DAVISVILLE TO LAWRENCE,1,Lawrence,90,,
DAVISVILLE TO ROSEDALE,DAVISVILLE TO ROSEDALE,1,Davisville,90,,
DAVISVILLE TRACK & STR,DAVISVILLE TRACK & STR,1,Davisville,90,,
DAVISVILLE TRACK AND S,DAVISVILLE TRACK AND S,1,Davisville,90,,
DAVISVILLE YARD (APPRO,DAVISVILLE YARD (APPRO,1,Davisville,90,,
DAVISVILLE YARD - T&S,DAVISVILLE YARD - T&S,1,Davisville,90,,
DAVISVILLE YARD - TUNN,DAVISVILLE YARD - TUNN,1,Davisville,90,,
DAVISVILLE YARD / TRAC,DAVISVILLE YARD / TRAC,1,Davisville,90,,
DON MILLS STAITON,DON MILLS STAITON,1,Don Mills,90,,
DON MILLS STATION TO L,DON MILLS TO L,1,Don Mills,90,,
DON MILLS STATION- PLA,DON MILLS- PLA,1,Don Mills,90,,
DON MLLS STATION,DON MLLS,1,Don Mills,94,1,
DONLANDS STATION (ENTE,DONLANDS (ENTE,1,Donlands,90,,
DONLANDS TO GREENWOD Y,DONLANDS TO GREENWOD Y,1,Donlands,90,,
DONLANDS TO GREENWOOD,DONLANDS TO GREENWOOD,1,Donlands,90,,
DONLANDS TO KIPLING ST,DONLANDS TO KIPLING ST,1,Kipling,90,,
DOWNSVIEW PARK TO VMC,DOWNSVIEW PARK TO VMC,1,Downsview Park,90,,
DOWNSVIEW STATION PLAT,DOWNSVIEW PLAT,1,Downsview Park,86,,
DOWNSVIEW SUB STATION,DOWNSVIEW SUB,1,Downsview Park,78,,
DOWNSVIEWSTATION,DOWNSVIEWSTATION,1,Union,68,,
DOWNVIEW PARK STATION,DOWNVIEW PARK,1,Downsview Park,96,1,
DOWNVIEW PARK STN - UN,DOWNVIEW PARK STN - UN,1,Downsview Park,87,,
DUFFERIN AND BLOOR,DUFFERIN AND BLOOR,1,Dufferin,90,,
DUFFERIN AND DUFFERIN,DUFFERIN AND DUFFERIN,1,Dufferin,90,,
DUFFERIN STATON,DUFFERIN STATON,1,Dufferin,90,,
DUFFERIN TO KIPLING,DUFFERIN TO KIPLING,1,Kipling,90,,
DUFFERIN TO KIPLING ST,DUFFERIN TO KIPLING ST,1,Kipling,90,,
DUFFERIN TO LANSDOWNE,DUFFERIN TO LANSDOWNE,1,Lansdowne,90,,
DUNCAN SHOPS BRAKE SEC,DUNCAN SHOPS BRAKE SEC,1,Duncanwoods,66,,
DUNCAN WAREHOUSE,DUNCAN WAREHOUSE,1,Duncanwoods,67,,
DUNDA WEST STATION,DUNDA WEST,1,Dundas West,95,,
DUNDAS STATION (W/S),DUNDAS (W/S),1,Dundas West,82,,
DUNDAS STATION - EAST,DUNDAS - EAST,1,Dundas West,86,,
DUNDAS STATION - W/S,DUNDAS - W/S,1,Dundas West,78,,
DUNDAS STATION - WEST,DUNDAS - WEST,1,Dundas West,95,,
DUNDAS STATION E/S,DUNDAS E/S,1,Dundas West,86,,
DUNDAS STATION E/S 1,DUNDAS E/S 1,1,Dundas West,78,,
DUNDAS STATION W/S,DUNDAS W/S,1,Dundas West,86,,
DUNDAS STATION/SUMMERH,DUNDAS/SUMMERH,1,Dundas West,67,,
DUNDAS TO FINCH,DUNDAS TO FINCH,1,Finch,90,,
DUNDAS TO FINCH STATIO,DUNDAS TO FINCH,1,Finch,90,,
DUNDAS WEST - KIPLING,DUNDAS WEST - KIPLING,1,Kipling,90,,
DUNDAS WEST STATION (A,DUNDAS WEST (A,1,Dundas West,95,,
DUNDAS WEST STATION -,DUNDAS WEST -,1,Dundas West,100,1,
DUNDAS WEST TO KEELE S,DUNDAS WEST TO KEELE S,1,Keele,90,,
DUPLEX AVENUE,DUPLEX AVENUE,1,Avenue,90,,
DUPONT MIGRATION POINT,DUPONT MIGRATION POINT,1,Dupont,90,,
DUPONT STATION ( APPRO,DUPONT ( APPRO,1,Dupont,90,,
DUPONT STATION (EXITIN,DUPONT (EXITIN,1,Dupont,90,,
DUPONT STATION APPROAC,DUPONT APPROAC,1,Dupont,90,,
DUPONT STATION TO EGLI,DUPONT TO EGLI,1,Dupont,90,,
DUPONT TO OSGOODE,DUPONT TO OSGOODE,1,Osgoode,90,,
DUPONT TO SPADINA,DUPONT TO SPADINA,1,Spadina,90,,
DUPONT TO ST GEORGE,DUPONT TO ST GEORGE,1,Dupont,90,,
E/O WARDEN TO W/O VICT,E/O WARDEN TO W/O VICT,1,Warden,90,,
E/O WARDEN TO W/O WARD,E/O WARDEN TO W/O WARD,1,Warden,90,,
E13,E13,1,North York Centre,45,,
EA SHEPPARD WEST TO ST,EA SHEPPARD WEST TO ST,1,Sheppard West,90,,
EARLY ACCESS CLOSURE F,EARLY ACCESS CLOSURE F,1,Pearldale,56,,
EARLY CLOSURE,EARLY CLOSURE,1,Pearldale,55,,
EARLY CLOSURE EGLINTON,EARLY CLOSURE EGLINTON,1,Eglinton,90,,
EARLY CLOSURE KING TO,EARLY CLOSURE KING TO,1,King,90,,
EARLY CLOSURE LINE 1 Y,EARLY CLOSURE LINE 1 Y,1,Leslie,60,,
EARLY CLOSURE: KIPLING,EARLY CLOSURE: KIPLING,1,Kipling,90,,
EARLY SCHEDULE CLOSURE,EARLY SCHEDULE CLOSURE,1,Rosedale,56,,
EARLY SUBWAY CLOSURE:,EARLY SUBWAY CLOSURE:,1,Bay,68,,
EASTBOUND - BETWEEN SH,EASTBOUND - BETWEEN SH,1,Queen,54,,
EATON CENTRE,EATON CENTRE,1,North York Centre,63,,
EATON CENTRE - DUNDAS,EATON CENTRE - DUNDAS,1,Dundas West,86,,
EGINTON STATION,EGINTON,1,Eglinton,93,1,
EGLINTON - FINCH STATI,EGLINTON - FINCH STATI,1,Finch,90,,
EGLINTON - SCARBOROUGH,EGLINTON - SCARBOROUGH,1,Eglinton,90,,
EGLINTON AND BLOOR STA,EGLINTON AND BLOOR STA,1,Eglinton,90,,
EGLINTON GARAGE,EGLINTON GARAGE,1,Eglinton,90,,
EGLINTON POCKET,EGLINTON POCKET,1,Eglinton,90,,
EGLINTON PSUDO STATION,EGLINTON PSUDO,1,Eglinton,90,,
EGLINTON STAION,EGLINTON STAION,1,Eglinton,90,,
EGLINTON STATION ( MIG,EGLINTON ( MIG,1,Eglinton,90,,
EGLINTON STATION (ENTE,EGLINTON (ENTE,1,Eglinton,90,,
EGLINTON STATION (EXIT,EGLINTON (EXIT,1,Eglinton,90,,
EGLINTON STATION (SOUT,EGLINTON (SOUT,1,Eglinton,90,,
EGLINTON STATION - FIN,EGLINTON - FIN,1,Eglinton,90,,
EGLINTON STATION - MIG,EGLINTON - MIG,1,Eglinton,90,,
EGLINTON STATION APPRO,EGLINTON APPRO,1,Eglinton,90,,
EGLINTON STATION TO ST,EGLINTON TO ST,1,Eglinton,90,,
EGLINTON STATION TO VA,EGLINTON TO VA,1,Eglinton,90,,
EGLINTON STATION TO VM,EGLINTON TO VM,1,Eglinton,90,,
EGLINTON STN,EGLINTON STN,1,Eglinton,90,,
EGLINTON TO COLLEGE,EGLINTON TO COLLEGE,1,Eglinton,90,,
EGLINTON TO FINCH STAT,EGLINTON TO FINCH STAT,1,Finch,90,,
EGLINTON TO KING STATI,EGLINTON TO KING STATI,1,Eglinton,90,,
EGLINTON TO SHEPPARD-Y,EGLINTON TO SHEPPARD-Y,1,Eglinton,90,,
EGLINTON TO ST CLAIR S,EGLINTON TO ST CLAIR S,1,Eglinton,90,,
EGLINTON TO UNION,EGLINTON TO UNION,1,Eglinton,90,,
EGLINTON TO UNION STA,EGLINTON TO UNION STA,1,Eglinton,90,,
EGLINTON WEST - SHEPPA,EGLINTON WEST - SHEPPA,1,Eglinton,90,,
EGLINTON WEST SATION,EGLINTON WEST SATION,1,Eglinton,90,,
EGLINTON WEST TO BLOOR,EGLINTON WEST TO BLOOR,1,Eglinton,90,,
EGLINTON WEST TO ST CL,EGLINTON WEST TO ST CL,1,Eglinton,90,,
EGLINTON WEST TO VMC,EGLINTON WEST TO VMC,1,Eglinton,90,,
EGLINTON YARD,EGLINTON YARD,1,Eglinton,90,,
ELLESMERE STATION DEPA,ELLESMERE DEPA,1,Emery,72,,
ELLIS BRIDGE,ELLIS BRIDGE,1,Coxwell,54,,
ENGLINTON TO SHEPPARD,ENGLINTON TO SHEPPARD,1,Sheppard–Yonge,86,,
ENTERING END - CASTLE,ENTERING END - CASTLE,1,Castle Frank,86,,
ENTERING LESLIE STATIO,ENTERING LESLIE,1,Leslie,90,,
FENMAR AND WESTON,FENMAR AND WESTON,1,Westmore,64,,
FICNH STATION,FICNH,1,Finch,80,,
FINCH - NORTH YORK CEN,FINCH - NORTH YORK CEN,1,Finch,90,,
FINCH STATION ( PLAT 2,FINCH ( PLAT 2,1,Finch,90,,
FINCH STATION (PLAT #2,FINCH (PLAT #2,1,Finch,90,,
FINCH STATION BOOTH 2,FINCH BOOTH 2,1,Finch,90,,
FINCH STATION BUS BAY,FINCH BUS BAY,1,Finch,90,,
FINCH STATION TO DUPON,FINCH TO DUPON,1,Finch,90,,
FINCH STATION TO ST GE,FINCH TO ST GE,1,Finch,90,,
FINCH STATION TO ST. C,FINCH TO ST. C,1,Finch,90,,
FINCH STATION- PLATFOR,FINCH- PLATFOR,1,Finch,90,,
FINCH STN 39 BUS PLATF,FINCH STN 39 BUS PLATF,1,Finch,90,,
FINCH TAIL,FINCH TAIL,1,Finch,90,,
FINCH TO MUSEUM,FINCH TO MUSEUM,1,Finch,90,,
FINCH TO NORTH YORK CT,FINCH TO NORTH YORK CT,1,Finch,90,,
FINCH TO QUEEN STATION,FINCH TO QUEEN,1,Finch,90,,
FINCH TO ROSEDALE,FINCH TO ROSEDALE,1,Finch,90,,
FINCH TO SHEPPARD WEST,FINCH TO SHEPPARD WEST,1,Finch,90,,
FINCH TO ST CLAIR,FINCH TO ST CLAIR,1,Finch,90,,
FINCH TO ST CLAIR WEST,FINCH TO ST CLAIR WEST,1,Finch,90,,
FINCH TO UNION,FINCH TO UNION,1,Finch,90,,
FINCH TO UNION STATION,FINCH TO UNION,1,Finch,90,,
FINCH TO VAUGHAN METRO,FINCH TO VAUGHAN METRO,1,Finch,90,,
FINCH TO VMC,FINCH TO VMC,1,Finch,90,,
FINCH TO WILSON,FINCH TO WILSON,1,Finch,90,,
FINCH TOWER,FINCH TOWER,1,Finch,90,,
FINCH WEST - SHEPPARD,FINCH WEST - SHEPPARD,1,Finch,90,,
FINCH WEST CENTER TRAC,FINCH WEST CENTER TRAC,1,Finch,90,,
FINCH WEST STATION (AP,FINCH WEST (AP,1,Finch West,95,,
FINCH WEST STATION (EN,FINCH WEST (EN,1,Finch West,95,,
FINCH WEST TO PIONEER,FINCH WEST TO PIONEER,1,Finch,90,,
FINCH WEST TO VMC,FINCH WEST TO VMC,1,Finch,90,,
FINCH WEST TO VMC STAT,FINCH WEST TO VMC STAT,1,Finch,90,,
FINCH WEST TO WILSON,FINCH WEST TO WILSON,1,Finch,90,,
FULL LINE,FULL LINE,1,Jane,60,,
GLENACAIRN STATION (AP,GLENACAIRN (AP,1,Glencairn,80,,
GLENAYR EE,GLENAYR EE,1,Glencairn,63,,
GLENAYR SUBSTATION,GLENAYR SUBSTATION,1,Union,68,,
GLENCAIRN,GLENCAIRN,1,Glencairn,100,1,
GLENCAIRN TO ST GEORGE,GLENCAIRN TO ST GEORGE,1,Glencairn,90,,
GO PROTOCOL - BARRIE L,GO PROTOCOL - BARRIE L,1,Bay,68,,
GO PROTOCOL - DANFORTH,GO PROTOCOL - DANFORTH,1,Forest Hill,56,,
GREEENWOOD YARD,GREEENWOOD YARD,1,Greenwood,80,,
GREENWOOD - TRACK TRAI,GREENWOOD - TRACK TRAI,1,Greenwood,90,,
GREENWOOD CARHOUSE - T,GREENWOOD CARHOUSE - T,1,Greenwood,90,,
GREENWOOD COMPLEX - TR,GREENWOOD COMPLEX - TR,1,Greenwood,90,,
GREENWOOD PLANT BUILDI,GREENWOOD PLANT BUILDI,1,Greenwood,90,,
GREENWOOD PORTAL (EXIT,GREENWOOD PORTAL (EXIT,1,Greenwood,90,,
GREENWOOD SHOPS - 41 T,GREENWOOD SHOPS - 41 T,1,Greenwood,90,,
GREENWOOD SHOPS TRACK,GREENWOOD SHOPS TRACK,1,Greenwood,90,,
GREENWOOD SHOPS.,GREENWOOD SHOPS.,1,Greenwood,90,,
GREENWOOD STATION (APP,GREENWOOD (APP,1,Greenwood,90,,
GREENWOOD STATION CARH,GREENWOOD CARH,1,Greenwood,90,,
GREENWOOD T&S BUILDING,GREENWOOD T&S BUILDING,1,Greenwood,90,,
GREENWOOD TO DONLANDS,GREENWOOD TO DONLANDS,1,Donlands,90,,
GREENWOOD TRACK & STRU,GREENWOOD TRACK & STRU,1,Greenwood,90,,
GREENWOOD TRACK&STRUCT,GREENWOOD TRACK&STRUCT,1,Greenwood,90,,
GREENWOOD TRACK/STRUCT,GREENWOOD TRACK/STRUCT,1,Greenwood,90,,
GREENWOOD WOOD,GREENWOOD WOOD,1,Greenwood,90,,
GREENWOOD WYE (ENTERI,GREENWOOD WYE (ENTERI,1,Greenwood,90,,
GREENWOOD WYE DEPARTIN,GREENWOOD WYE DEPARTIN,1,Greenwood,90,,
GUNN BUILDING - 2ND FL,GUNN BUILDING - 2ND FL,1,King,68,,
GUNN BUILDING - 3RD FL,GUNN BUILDING - 3RD FL,1,King,68,,
GUNN BUILDING - ELEVAT,GUNN BUILDING - ELEVAT,1,King,68,,
HIGH PARK,HIGH PARK,1,High Park,100,1,
HIGH PARK - KEELE,HIGH PARK - KEELE,1,High Park,90,,
HIGH PARK - KEELE STAT,HIGH PARK - KEELE STAT,1,High Park,90,,
HIGH PARK AND LANSDOWN,HIGH PARK AND LANSDOWN,1,High Park,90,,
HIGH PARK STATION (APP,HIGH PARK (APP,1,High Park,90,,
HIGH PARK STATION (ENT,HIGH PARK (ENT,1,High Park,90,,
HIGHWAY 407 STATION TO,HIGHWAY 407 TO,1,Highway 407,95,,
HILLCREST - GUNN BUILD,HILLCREST - GUNN BUILD,1,Chester,57,,
HILLCREST - PAINT AND,HILLCREST - PAINT AND,1,Jane and Finch,86,,
HILLCREST - SUBWAY OPE,HILLCREST - SUBWAY OPE,1,Bay,68,,
HILLCREST COMPLEX,HILLCREST COMPLEX,1,Chester,57,,
HILLCREST COMPLEX - IN,HILLCREST COMPLEX - IN,1,King,60,,
HILLCREST GATE,HILLCREST GATE,1,Chester,57,,
HILLCREST POWER CONTRO,HILLCREST POWER CONTRO,1,O'Connor,61,,
HOSTLER 2 WILSON YARD,HOSTLER 2 WILSON YARD,1,Wilson,90,,
HWY 407 & DOWNSVIEW PA,HWY 407 & DOWNSVIEW PA,1,Downsview Park,86,,
INGLIS BUILDING - 3RD,INGLIS BUILDING - 3RD,1,King,77,,
INTERCHANGE WAY EE,INTERCHANGE WAY EE,1,Bay,68,,
ISLINGTON AND JANE,ISLINGTON AND JANE,1,Islington,90,,
ISLINGTON STATION ( AP,ISLINGTON ( AP,1,Islington,90,,
ISLINGTON STATION (ENT,ISLINGTON (ENT,1,Islington,90,,
ISLINGTON STATION (EXI,ISLINGTON (EXI,1,Islington,90,,
ISLINGTON STATION (LEA,ISLINGTON (LEA,1,Islington,90,,
ISLINGTON STATION LEAV,ISLINGTON LEAV,1,Islington,90,,
ISLINGTON SUBSTATION,ISLINGTON SUBSTATION,1,Islington,90,,
ISLINGTON TO COXWELL S,ISLINGTON TO COXWELL S,1,Islington,90,,
ISLINGTON TO HIGH PARK,ISLINGTON TO HIGH PARK,1,Islington,90,,
ISLINGTON TO KEELE,ISLINGTON TO KEELE,1,Islington,90,,
ISLINGTON TO KIPLING,ISLINGTON TO KIPLING,1,Kipling,90,,
ISLINGTON TO KIPLING S,ISLINGTON TO KIPLING S,1,Kipling,90,,
ISLINGTON TO KIPLING-,ISLINGTON TO KIPLING-,1,Kipling,90,,
ISLINGTON TO LANSDOWN,ISLINGTON TO LANSDOWN,1,Islington,90,,
ISLINGTON TO OLD MILL,ISLINGTON TO OLD MILL,1,Islington,90,,
ISLINGTON TO PRINCE ED,ISLINGTON TO PRINCE ED,1,Islington,90,,
ISLINTON STATION,ISLINTON,1,Islington,94,1,
JANE & RUNNYMEDE STATI,JANE & RUNNYMEDE STATI,1,Jane,90,,
JANE AND DUFFERIN,JANE AND DUFFERIN,1,Jane,90,,
JANE AND HWY 407,JANE AND HWY 407,1,Jane,90,,
JANE STATION (APPROACH,JANE (APPROACH,1,Jane,90,,
JANE STATION (EXITING),JANE (EXITING),1,Jane,90,,
JANE STATION TO KIPLIN,JANE TO KIPLIN,1,Jane,90,,
JANE STATION TO OLD MI,JANE TO OLD MI,1,Jane,90,,
JANE TO KEELE STATIONS,JANE TO KEELES,1,Jane,90,,
JANE TO ST GEORGE STAT,JANE TO ST GEORGE STAT,1,Jane,90,,
KEELE STATION (CROSSIN,KEELE (CROSSIN,1,Keele,90,,
KEELE STATION (ENTERIN,KEELE (ENTERIN,1,Keele,90,,
KEELE STATION (EXITING,KEELE (EXITING,1,Keele,90,,
KEELE STATION TO DUNDA,KEELE TO DUNDA,1,Keele,90,,
KEELE STATION TO KIPLI,KEELE TO KIPLI,1,Keele,90,,
KEELE TO HIGH PARK STA,KEELE TO HIGH PARK STA,1,High Park,90,,
KENENDY STATION,KENENDY,1,Kennedy,86,,
KENNDY STATION,KENNDY,1,Kennedy,92,,
KENNEDY,KENNEDY,1,Kennedy,100,1,
KENNEDY - MCCOWAN,KENNEDY - MCCOWAN,1,Kennedy,90,,
KENNEDY - WARDEN - MAI,KENNEDY - WARDEN - MAI,1,Warden,90,,
KENNEDY AND SCARBOROUG,KENNEDY AND SCARBOROUG,1,Kennedy,90,,
KENNEDY BD STATION ( A,KENNEDY BD ( A,1,Kennedy,90,,
KENNEDY BD STATION (EX,KENNEDY BD (EX,1,Kennedy,90,,
KENNEDY BD STATION (LE,KENNEDY BD (LE,1,Kennedy,90,,
KENNEDY BD STATION (PL,KENNEDY BD (PL,1,Kennedy,90,,
KENNEDY BD STATION APP,KENNEDY BD APP,1,Kennedy,90,,
KENNEDY BD STATION PLA,KENNEDY BD PLA,1,Kennedy,90,,
KENNEDY BD STATION- PL,KENNEDY BD- PL,1,Kennedy,90,,
KENNEDY BD TO KIPLING,KENNEDY BD TO KIPLING,1,Kipling,90,,
KENNEDY PLATFORM 1,KENNEDY PLATFORM 1,1,Kennedy,90,,
KENNEDY SRT AND LAWREN,KENNEDY SRT AND LAWREN,1,Kennedy,90,,
KENNEDY SRT STATION (D,KENNEDY SRT (D,1,Kennedy,90,,
KENNEDY SRT STATION -,KENNEDY SRT -,1,Kennedy,90,,
KENNEDY SRT STATION LA,KENNEDY SRT LA,1,Kennedy,90,,
KENNEDY SRT TO MCCOWA,KENNEDY SRT TO MCCOWA,1,Kennedy,90,,
KENNEDY SRT TO MCCOWAN,KENNEDY SRT TO MCCOWAN,1,Kennedy,90,,
KENNEDY STATION (PALTF,KENNEDY (PALTF,1,Kennedy,90,,
KENNEDY TO COXWELL,KENNEDY TO COXWELL,1,Coxwell,90,,
KENNEDY TO LAWREBCE EA,KENNEDY TO LAWREBCE EA,1,Kennedy,90,,
KENNEDY TO LAWRENCE SR,KENNEDY TO LAWRENCE SR,1,Lawrence,90,,
KENNEDY TO MAIN STREET,KENNEDY TO MAIN STREET,1,Main Street,90,,
KENNEDY TO MC COWAN ST,KENNEDY TO MC COWAN ST,1,Kennedy,90,,
KENNEDY TO MCCOWAN - L,KENNEDY TO MCCOWAN - L,1,Kennedy,90,,
KENNEDY TO WARDEN,KENNEDY TO WARDEN,1,Warden,90,,
KENNEDY TO WARDEN STAT,KENNEDY TO WARDEN STAT,1,Warden,90,,
KILPING STATION,KILPING,1,Kipling,86,,
KILPING STATION TO JAN,KILPING TO JAN,1,Kipling,77,,
KING AND BATHURST,KING AND BATHURST,1,King,90,,
KING STATION (200 FEET,KING (200 FEET,1,King,90,,
KING STATION (APPROACH,KING (APPROACH,1,King,90,,
KING STATION APPROACHI,KING APPROACHI,1,King,90,,
KING STATION TO OSGOOD,KING TO OSGOOD,1,King,90,,
KING STATION TO ST CLA,KING TO ST CLA,1,King,90,,
KING STATION TO ST GEO,KING TO ST GEO,1,King,90,,
KING STATION TO ST. CL,KING TO ST. CL,1,King,90,,
KING STATION TO UNION,KING TO UNION,1,King,90,,
KING TO COLLEGE,KING TO COLLEGE,1,College,90,,
KING TO EGLINTON STATO,KING TO EGLINTON STATO,1,Eglinton,90,,
KING TO OSGOODE,KING TO OSGOODE,1,King,90,,
KING TO OSGOODE STATIO,KING TO OSGOODE,1,King,90,,
KING TO S/O ST ANDREW,KING TO S/O ST ANDREW,1,King,90,,
KING TO SPADINA,KING TO SPADINA,1,King,90,,
KING TO SPADINA STATIO,KING TO SPADINA,1,King,90,,
