station,station_clean,row_count,mapped_station,score,include_station,remarks
ST CLAIR WEST CENTRE T,ST CLAIR WEST CENTRE T,1,St. Clair West,87,,
ST CLAIR WEST TO EGLIN,ST CLAIR WEST TO EGLIN,1,St. Clair West,87,,
ST CLAIR WEST TO SHEPP,ST CLAIR WEST TO SHEPP,1,St. Clair West,87,,
ST CLAIR WEST TO VMC S,ST CLAIR WEST TO VMC S,1,St. Clair West,87,,
ST GEOGE STATION,ST GEOGE,1,St. George,89,,
ST GEORGE - DUPONT STA,ST GEORGE - DUPONT STA,1,Dupont,90,,
ST GEORGE - LAWRENCE W,ST GEORGE - LAWRENCE W,1,Lawrence,90,,
ST GEORGE AND BLOOR,ST GEORGE AND BLOOR,1,St. Clair,86,,
ST GEORGE AND BROADVIE,ST GEORGE AND BROADVIE,1,St. Clair,86,,
ST GEORGE AND WOODBINE,ST GEORGE AND WOODBINE,1,Woodbine,90,,
ST GEORGE BD STATION (,ST GEORGE BD (,1,St. George,95,,
ST GEORGE BD/YU STATIO,ST GEORGE BD/YU,1,St. Clair,86,,
ST GEORGE BEDFORD,ST GEORGE BEDFORD,1,St. Clair,86,,
ST GEORGE SIGNALS OFFI,ST GEORGE SIGNALS OFFI,1,St. Clair,86,,
ST GEORGE STAION - LE,ST GEORGE STAION - LE,1,St. Clair,86,,
ST GEORGE STATION TO G,ST GEORGE TO G,1,St. George,95,,
ST GEORGE STATION TO S,ST GEORGE TO S,1,St. George,95,,
ST GEORGE STN,ST GEORGE STN,1,St. George,95,,
ST GEORGE TO BAY STATI,ST GEORGE TO BAY STATI,1,Bay,90,,
ST GEORGE TO BLOOR STA,ST GEORGE TO BLOOR STA,1,St. Clair,86,,
ST GEORGE TO FINCH WES,ST GEORGE TO FINCH WES,1,Finch,90,,
ST GEORGE TO GREENWOOD,ST GEORGE TO GREENWOOD,1,Greenwood,90,,
ST GEORGE TO PAPE,ST GEORGE TO PAPE,1,Pape,90,,
ST GEORGE TO QUEENS PA,ST GEORGE TO QUEENS PA,1,Queen,90,,
ST GEORGE TO SHEPPARD,ST GEORGE TO SHEPPARD,1,Sheppard–Yonge,86,,
ST GEORGE TO SPADINA,ST GEORGE TO SPADINA,1,Spadina,90,,
ST GEORGE/BEDFORD,ST GEORGE/BEDFORD,1,St. Clair,86,,
ST PATRICK STATION TO,ST PATRICK TO,1,St. Patrick,95,,
ST. CLAIR AND SHEPPARD,ST. CLAIR AND SHEPPARD,1,St. Clair,90,,
ST. CLAIR STATION (APP,ST. CLAIR (APP,1,St. Clair,90,,
ST. CLAIR TO BLOOR,ST. CLAIR TO BLOOR,1,St. Clair,90,,
ST. CLAIR TO COLLEGE S,ST. CLAIR TO COLLEGE S,1,St. Clair,90,,
ST. CLAIR TO FINCH STA,ST. CLAIR TO FINCH STA,1,Finch,90,,
ST. CLAIR WEST - KING,ST. CLAIR WEST - KING,1,St. Clair,90,,
ST. CLAIR WEST TO DUPO,ST. CLAIR WEST TO DUPO,1,St. Clair,90,,
ST. CLAIR WEST TO KING,ST. CLAIR WEST TO KING,1,St. Clair,90,,
ST. CLAIR WEST TO SHEP,ST. CLAIR WEST TO SHEP,1,St. Clair,90,,
ST. CLAIR WEST TO ST.,ST. CLAIR WEST TO ST.,1,St. Clair West,95,,
ST. GEORGE TO BROADVIE,ST. GEORGE TO BROADVIE,1,St. George,90,,
ST.CLAIR WEST TO ST.A,ST.CLAIR WEST TO ST.A,1,St. Clair West,87,,
ST.GEORGE STATION YU,ST.GEORGE YU,1,St. George,95,,
ST.GEORGE TO ST.ANDREW,ST.GEORGE TO ST.ANDREW,1,St. Clair,86,,
STATION,STATION,1,Bessarion,62,,
STC,STC,1,St. Clair,72,,
STC TO MCCOWAN STATION,STC TO MCCOWAN,1,Jane,60,,
STORM TRAINS LINE 1 YO,STORM TRAINS LINE 1 YO,1,Leslie,60,,
STORM TRAINS LINE 2 BL,STORM TRAINS LINE 2 BL,1,Leslie,60,,
STR. CLAIR WEST STATIO,STR. CLAIR WEST,1,St. Clair West,97,1,
SUBWAY CLOSURE,SUBWAY CLOSURE,1,Bay,68,,
SUBWAY CLOSURE - JANE,SUBWAY CLOSURE - JANE,1,Jane,90,,
SUBWAY CLOSURE - WILSO,SUBWAY CLOSURE - WILSO,1,Wilson,82,,
SUBWAY CLOSURE BLOOR-D,SUBWAY CLOSURE BLOOR-D,1,Bloor–Yonge,86,,
SUBWAY CLOSURE EARLY A,SUBWAY CLOSURE EARLY A,1,Bay,68,,
SUBWAY CLOSURE: WARDEN,SUBWAY CLOSURE: WARDEN,1,Warden,90,,
SUBWAY CLOSURE: WEEKEN,SUBWAY CLOSURE: WEEKEN,1,Queen,60,,
SUBWAY CLOSURE: WOODBI,SUBWAY CLOSURE: WOODBI,1,Woodbine,77,,
SUBWAY LINE 1 YONGE -,SUBWAY LINE 1 YONGE -,1,Bloor–Yonge,86,,
SUBWAY OPERATIONS BLDG,SUBWAY OPERATIONS BLDG,1,Bay,68,,
SUBWAY OPERATIONS BUIL,SUBWAY OPERATIONS BUIL,1,Bay,68,,
SUBWAY: LINE 1 (YONGE-,SUBWAY: LINE 1 (YONGE-,1,Sheppard–Yonge,86,,
SUMMER HILL STATION,SUMMER HILL,1,Summerhill,95,,
SUMMERHILL STATION TO,SUMMERHILL TO,1,Summerhill,95,,
SUMMERHILL TO BLOOR,SUMMERHILL TO BLOOR,1,Summerhill,90,,
SUMMERHILL TO BLOOR ST,SUMMERHILL TO BLOOR ST,1,Summerhill,90,,
SYSTEM - WIDE IN THE O,SYSTEM - WIDE IN THE O,1,O'Connor,86,,
TETRA RADIO ZONE YU/SH,TETRA RADIO ZONE YU/SH,1,Jane,57,,
THE POND EMERGENCY EXI,THE POND EMERGENCY EXI,1,Emery,76,,
TMU - QUEEN STATION,TMU - QUEEN,1,TMU,90,,
TMU STATION (APPROACHI,TMU (APPROACHI,1,TMU,90,,
TMU STATION- WEST SIDE,TMU- WEST SIDE,1,TMU,90,,
TORO RD EE,TORO RD EE,1,Emery,57,,
TORONTO TRANIST COMMIS,TORONTO TRANIST COMMIS,1,Tobermory,55,,
TORONTO TRANSIC COMMIS,TORONTO TRANSIC COMMIS,1,Tobermory,55,,
TORONTO TRANSIT COMMII,TORONTO TRANSIT COMMII,1,Tobermory,55,,
TOROTOTO TRANSIT COMMI,TOROTOTO TRANSIT COMMI,1,Tobermory,55,,
TYSSE LINE,TYSSE LINE,1,Jane,60,,
UNION,UNION,1,Union,100,1,
UNION (TO FINCH),UNION (TO FINCH),1,Finch,90,,
UNION - TO ST ANDREW,UNION - TO ST ANDREW,1,Union,90,,
UNION - UNIVERSITY,UNION - UNIVERSITY,1,Union,90,,
UNION AND DOWNSVIEW,UNION AND DOWNSVIEW,1,Union,90,,
UNION AND HIGHWAY 407,UNION AND HIGHWAY 407,1,Union,90,,
UNION AND LESLIE,UNION AND LESLIE,1,Union,90,,
UNION CENTRE TRACK,UNION CENTRE TRACK,1,Union,90,,
UNION HUB,UNION HUB,1,Union,90,,
UNION STATION ( TOWARD,UNION ( TOWARD,1,Union,90,,
UNION STATION (APPROAC,UNION (APPROAC,1,Union,90,,
UNION STATION (DOWNSVI,UNION (DOWNSVI,1,Union,90,,
UNION STATION (ENTERIN,UNION (ENTERIN,1,Union,90,,
UNION STATION (KING),UNION (KING),1,King,90,,
UNION STATION (QUEENS,UNION (QUEENS,1,Queen,90,,
UNION STATION (TO ST.A,UNION (TO ST.A,1,Union,90,,
UNION STATION (YONGE L,UNION (YONGE L,1,Union,90,,
UNION STATION - BOOTH,UNION - BOOTH,1,Union,90,,
UNION STATION - FINCH,UNION - FINCH,1,Finch,90,,
UNION STATION - HUB,UNION - HUB,1,Union,90,,
UNION STATION - KING S,UNION - KING S,1,King,90,,
UNION STATION - NB TO,UNION - NB TO,1,Union,90,,
UNION STATION - SALES,UNION - SALES,1,Union,90,,
UNION STATION - TOWARD,UNION - TOWARD,1,Union,90,,
UNION STATION BROOKFIE,UNION BROOKFIE,1,Union,90,,
UNION STATION FROM KIN,UNION FROM KIN,1,Union,90,,
UNION STATION HUB,UNION HUB,1,Union,90,,
UNION STATION TO ST A,UNION TO ST A,1,Union,90,,
UNION STATION TO ST CL,UNION TO ST CL,1,Union,90,,
UNION STATION TO VMC,UNION TO VMC,1,Union,90,,
UNION STATION TOWARD S,UNION TOWARD S,1,Union,90,,
UNION STATION(TOWARD K,UNION(TOWARD K,1,Union,90,,
UNION STATION- ST ANDR,UNION- ST ANDR,1,Union,90,,
UNION STATION- TO KING,UNION- TO KING,1,King,90,,
UNION STATION- UNIVERS,UNION- UNIVERS,1,Union,90,,
UNION STATION--ST ANDR,UNION--ST ANDR,1,Union,90,,
UNION STATION-KING,UNION-KING,1,King,90,,
UNION TO BLOOR,UNION TO BLOOR,1,Union,90,,
UNION TO BLOOR STATION,UNION TO BLOOR,1,Union,90,,
UNION TO MAIN STREET,UNION TO MAIN STREET,1,Union,90,,
UNION TO SHEPPARD WEST,UNION TO SHEPPARD WEST,1,Union,90,,
UNION TO ST CLAIR WEST,UNION TO ST CLAIR WEST,1,Union,90,,
UNION TO ST GEORGE,UNION TO ST GEORGE,1,Union,90,,
UNION TO ST. ANDREW,UNION TO ST. ANDREW,1,Union,90,,
UNION TO ST. ANDREW ST,UNION TO ST. ANDREW ST,1,Union,90,,
UNION TO WILSON,UNION TO WILSON,1,Union,90,,
UNION TOWARDS TO KING,UNION TOWARDS TO KING,1,King,90,,
UNIVERSITY AND QUEEN,UNIVERSITY AND QUEEN,1,Queen,90,,
VARIOUS LOCATION,VARIOUS LOCATION,1,Union,68,,
VARIOUS LOCATIONS LINE,VARIOUS LOCATIONS LINE,1,Jane,60,,
VARIOUS STATIONS,VARIOUSS,1,Bessarion,47,,
VARIOUS STATIONS - SYS,VARIOUSS - SYS,1,Bessarion,57,,
VAUGHAN MC STATIO,VAUGHAN MC,1,Vaughan,95,,
VAUGHAN MC STATION (PL,VAUGHAN MC (PL,1,Vaughan,90,,
VAUGHAN MC STATION TO,VAUGHAN MC TO,1,Vaughan,90,,
VAUGHAN MC TO FINCH ST,VAUGHAN MC TO FINCH ST,1,Finch,90,,
VAUGHAN MC TO FINCH WE,VAUGHAN MC TO FINCH WE,1,Finch,90,,
VAUGHAN MC TO MUSEUM S,VAUGHAN MC TO MUSEUM S,1,Museum,90,,
VIADUCT,VIADUCT,1,Victoria Park,65,,
VICTORIA PARK,VICTORIA PARK,1,Victoria Park,100,1,
VICTORIA PARK - WARDEN,VICTORIA PARK - WARDEN,1,Victoria Park,90,,
VMC - ST CLAIR,VMC - ST CLAIR,1,St. Clair,86,,
VMC AND FINCH WEST STA,VMC AND FINCH WEST STA,1,Finch,90,,
VMC STATION ( PLAT 2 ),VMC ( PLAT 2 ),1,Mount Pleasant,46,,
VMC STATION (ENTERING),VMC (ENTERING),1,King,77,,
VMC STATION (PLAT 1),VMC (PLAT 1),1,Mount Pleasant,48,,
VMC STATION (PLATFORM),VMC (PLATFORM),1,St. Patrick,50,,
VMC STATION - PLAT 1,VMC - PLAT 1,1,Mount Pleasant,46,,
VMC STATION PL 1,VMC PL 1,1,Mount Pleasant,45,,
VMC STATION PL 2,VMC PL 2,1,Mount Pleasant,45,,
VMC STATION PLAT 1,VMC PLAT 1,1,Mount Pleasant,50,,
VMC STATION PLAT 2,VMC PLAT 2,1,Mount Pleasant,50,,
VMC STATION TO PIONEER,VMC TO PIONEER,1,Emery,68,,
VMC STATION TO SHEPPAR,VMC TO SHEPPAR,1,Sheppard West,63,,
VMC STATION- PLAT 2,VMC- PLAT 2,1,Mount Pleasant,48,,
VMC TO LAWRENCE,VMC TO LAWRENCE,1,Lawrence,90,,
VMC TO PIONEER VILLAGE,VMC TO PIONEER VILLAGE,1,Pioneer Village,95,,
VMC TO SHEPPARD WEST,VMC TO SHEPPARD WEST,1,Sheppard West,90,,
W/O CASTLE FRANK TO GR,W/O CASTLE FRANK TO GR,1,Castle Frank,90,,
W/O WARDEN TO E/O KENN,W/O WARDEN TO E/O KENN,1,Warden,90,,
WARDEN AND KENNEDY,WARDEN AND KENNEDY,1,Warden,90,,
WARDEN AND ST CLAIR,WARDEN AND ST CLAIR,1,Warden,90,,
WARDEN STATION (APPR,WARDEN (APPR,1,Warden,90,,
WARDEN STATION TO KENN,WARDEN TO KENN,1,Warden,90,,
WARDEN TO KENNEDY STAT,WARDEN TO KENNEDY STAT,1,Warden,90,,
WEEKEND CLOSURE - WOOD,WEEKEND CLOSURE - WOOD,1,Oakwood,65,,
WEEKEND CLOSURE ISLING,WEEKEND CLOSURE ISLING,1,King,77,,
WEEKEND CLOSURE SHEPPA,WEEKEND CLOSURE SHEPPA,1,Kennedy,62,,
WEEKEND CLOSURE- ST AN,WEEKEND CLOSURE- ST AN,1,St. Clair,86,,
WEEKEND CLOSURE- ST GE,WEEKEND CLOSURE- ST GE,1,St. Clair,86,,
WELBECK,WELBECK,1,Wellesley,50,,
WELBECK EE,WELBECK EE,1,Keele,60,,
WELBECK EMERGENCY EXIT,WELBECK EMERGENCY EXIT,1,Emery,76,,
WELLBECK EE,WELLBECK EE,1,Coxwell,65,,
WELLBECK EMERGENCY,WELLBECK EMERGENCY,1,Emery,76,,
WELLESLEY STATION (APP,WELLESLEY (APP,1,Wellesley,90,,
WELLESLEY TO COLLEGE,WELLESLEY TO COLLEGE,1,Wellesley,90,,
WELLSELEY STATION,WELLSELEY,1,Wellesley,89,,
WELLSLEY STATION,WELLSLEY,1,Wellesley,94,1,
WILFRED EE,WILFRED EE,1,Wilson,60,,
WILFRED EEB,WILFRED EEB,1,Wilson,60,,
WILSON - ST CLAIR WEST,WILSON - ST CLAIR WEST,1,Wilson,90,,
WILSON CAPITAL SHOP,WILSON CAPITAL SHOP,1,Wilson,90,,
WILSON COMPEX TRAINING,WILSON COMPEX TRAINING,1,Wilson,90,,
WILSON DIVISION - 2ND,WILSON DIVISION - 2ND,1,Wilson,90,,
WILSON DIVISION TRAILE,WILSON DIVISION TRAILE,1,Wilson,90,,
WILSON HOLSER,WILSON HOLSER,1,Wilson,90,,
WILSON HOSTLER - 2,WILSON HOSTLER - 2,1,Wilson,90,,
WILSON HOSTLER 2,WILSON HOSTLER 2,1,Wilson,90,,
WILSON HUSTLER ONE,WILSON HUSTLER ONE,1,Wilson,90,,
WILSON PLANT T&S,WILSON PLANT T&S,1,Wilson,90,,
WILSON SOUTH HOSLER,WILSON SOUTH HOSLER,1,Wilson,90,,
WILSON STATION (EXITIN,WILSON (EXITIN,1,Wilson,90,,
WILSON STATION (ON THE,WILSON (ON THE,1,Wilson,90,,
WILSON STATION APPROAC,WILSON APPROAC,1,Wilson,90,,
WILSON STATION TO VMC,WILSON TO VMC,1,Wilson,90,,
WILSON STATION TO YORK,WILSON TO YORK,1,Wilson,90,,
WILSON STATION- HOSTLE,WILSON- HOSTLE,1,Wilson,90,,
WILSON STRUCTURE BUILD,WILSON STRUCTURE BUILD,1,Wilson,90,,
WILSON SUB STATION,WILSON SUB,1,Wilson,90,,
WILSON SUBWAY YARD,WILSON SUBWAY YARD,1,Wilson,90,,
WILSON T & S,WILSON T & S,1,Wilson,90,,
WILSON T&S BUILDING,WILSON T&S BUILDING,1,Wilson,90,,
WILSON TO EGLINTON,WILSON TO EGLINTON,1,Eglinton,90,,
WILSON TO ST CLAIR STA,WILSON TO ST CLAIR STA,1,Wilson,90,,
WILSON TO YORKDALE,WILSON TO YORKDALE,1,Yorkdale,90,,
WILSON TRACK & STRUCTU,WILSON TRACK & STRUCTU,1,Wilson,90,,
WILSON TRAINING BUILDI,WILSON TRAINING BUILDI,1,Wilson,90,,
WILSON TRAINING CENTER,WILSON TRAINING CENTER,1,Wilson,90,,
WILSON TRAINING CENTRE,WILSON TRAINING CENTRE,1,Wilson,90,,
WILSON YARD (SOUTH TAI,WILSON YARD (SOUTH TAI,1,Wilson,90,,
WILSON YARD (TRACK 43),WILSON YARD (TRACK 43),1,Wilson,90,,
WILSON YARD - 26 TRACK,WILSON YARD - 26 TRACK,1,Wilson,90,,
WILSON YARD - WALKWAY,WILSON YARD - WALKWAY,1,Wilson,90,,
WILSON YARD HOSTLER #2,WILSON YARD HOSTLER #2,1,Wilson,90,,
WILSON YARD HOSTLER 2,WILSON YARD HOSTLER 2,1,Wilson,90,,
WILSON YARD NORTH HOST,WILSON YARD NORTH HOST,1,Wilson,90,,
WILSON YARD PLANT BUIL,WILSON YARD PLANT BUIL,1,Wilson,90,,
WILSON YARD TRACK 3,WILSON YARD TRACK 3,1,Wilson,90,,
WILSON YARD- WILSON GA,WILSON YARD- WILSON GA,1,Wilson,90,,
WISLON STATION,WISLON,1,Wilson,83,,
WOODBINE - KENNEDY,WOODBINE - KENNEDY,1,Woodbine,90,,
WOODBINE STATION LEAVI,WOODBINE LEAVI,1,Woodbine,90,,
WOODBINE STATION TO BR,WOODBINE TO BR,1,Woodbine,90,,
WOODBINE STATION TO CO,WOODBINE TO CO,1,Woodbine,90,,
WOODBINE TO COXWELL,WOODBINE TO COXWELL,1,Coxwell,90,,
WOODBINE TO ST.GEORGE,WOODBINE TO ST.GEORGE,1,Woodbine,90,,
YARD SWITCH - BD CHECK,YARD SWITCH - BD CHECK,1,Laird,64,,
YONGE & BLOOR STATION,YONGE & BLOOR,1,Bloor–Yonge,95,,
YONGE - SHEPPARD (LEAV,YONGE - SHEPPARD (LEAV,1,Sheppard–Yonge,86,,
YONGE - UNIVERSITY BLO,YONGE - UNIVERSITY BLO,1,Sheppard–Yonge,86,,
YONGE - UNIVERSITY- SP,YONGE - UNIVERSITY- SP,1,Sheppard–Yonge,86,,
YONGE - UNIVERSITY/BLO,YONGE - UNIVERSITY/BLO,1,Sheppard–Yonge,86,,
YONGE / UNIVERSITY - B,YONGE / UNIVERSITY - B,1,Sheppard–Yonge,86,,
YONGE / UNIVERSITY - L,YONGE / UNIVERSITY - L,1,Sheppard–Yonge,86,,
YONGE / UNIVERSITY / S,YONGE / UNIVERSITY / S,1,Sheppard–Yonge,86,,
YONGE 1,YONGE 1,1,Sheppard–Yonge,86,,
YONGE AND BLOOR STATIO,YONGE AND BLOOR,1,Bloor–Yonge,95,,
YONGE AND EGLINTON (EG,YONGE AND EGLINTON (EG,1,Eglinton,90,,
YONGE AND QUEEN,YONGE AND QUEEN,1,Queen,90,,
YONGE AND STEELES,YONGE AND STEELES,1,Bloor–Yonge,86,,
YONGE AND UNIVERSITY S,YONGE AND UNIVERSITY S,1,Sheppard–Yonge,86,,
YONGE AUTO ENTRANCE,YONGE AUTO ENTRANCE,1,Bloor–Yonge,86,,
YONGE BD STATION (ON R,YONGE BD (ON R,1,Bloor–Yonge,71,,
YONGE BD STATION BOOTH,YONGE BD BOOTH,1,Bloor–Yonge,68,,
YONGE BD STATION LEAVI,YONGE BD LEAVI,1,Bloor–Yonge,61,,
YONGE BD STATION TO CO,YONGE BD TO CO,1,Bloor–Yonge,68,,
YONGE SHEPPARD SATATIO,YONGE SHEPPARD SATATIO,1,Sheppard–Yonge,86,,
YONGE SHEPPARD TO EGLI,YONGE SHEPPARD TO EGLI,1,Sheppard–Yonge,86,,
YONGE STATION (EXITING,YONGE (EXITING,1,King,77,,
YONGE STATION TO CHEST,YONGE TO CHEST,1,Chester,75,,
YONGE STATION TO GREEN,YONGE TO GREEN,1,Queen,68,,
YONGE TO COXWELL STATI,YONGE TO COXWELL STATI,1,Coxwell,90,,
YONGE UNIVERISTY LINE,YONGE UNIVERISTY LINE,1,Sheppard–Yonge,86,,
YONGE UNIVERISTY SUBWA,YONGE UNIVERISTY SUBWA,1,Sheppard–Yonge,86,,
YONGE UNIVERSITTY - BL,YONGE UNIVERSITTY - BL,1,Sheppard–Yonge,86,,
YONGE UNIVERSITY - SPA,YONGE UNIVERSITY - SPA,1,Sheppard–Yonge,86,,
YONGE UNIVERSITY LINE/,YONGE UNIVERSITY LINE/,1,Sheppard–Yonge,86,,
YONGE UNIVERSITY/ BLOO,YONGE UNIVERSITY/ BLOO,1,Sheppard–Yonge,86,,
YONGE UNIVERVISTY SUBW,YONGE UNIVERVISTY SUBW,1,Sheppard–Yonge,86,,
YONGE UNIVESITY AND BL,YONGE UNIVESITY AND BL,1,Sheppard–Yonge,86,,
YONGE UNIVESITY LINE 1,YONGE UNIVESITY LINE 1,1,Sheppard–Yonge,86,,
YONGE UNIVRESITY/BLOOR,YONGE UNIVRESITY/BLOOR,1,Sheppard–Yonge,86,,
YONGE UNVERSITY SUBWAY,YONGE UNVERSITY SUBWAY,1,Sheppard–Yonge,86,,
YONGE- UNIVERSITY SPAD,YONGE- UNIVERSITY SPAD,1,Sheppard–Yonge,86,,
YONGE- UNIVERSTIY AND,YONGE- UNIVERSTIY AND,1,Sheppard–Yonge,86,,
YONGE-DUNDAS SQUARE,YONGE-DUNDAS SQUARE,1,Bloor–Yonge,86,,
YONGE-SHEPPARD (LINE 4,YONGE-SHEPPARD (LINE 4,1,Sheppard–Yonge,86,,
YONGE-SHEPPARD STATION,YONGE-SHEPPARD,1,Sheppard–Yonge,95,,
YONGE-UNIVERISTY & BLO,YONGE-UNIVERISTY & BLO,1,Sheppard–Yonge,86,,
YONGE-UNIVERISTY-SPADI,YONGE-UNIVERISTY-SPADI,1,Sheppard–Yonge,86,,
YONGE-UNIVERSITY / BLO,YONGE-UNIVERSITY / BLO,1,Sheppard–Yonge,86,,
YONGE-UNIVERSITY AND,YONGE-UNIVERSITY AND,1,Bloor–Yonge,86,,
YONGE-UNIVERSITY SUBW,YONGE-UNIVERSITY SUBW,1,Sheppard–Yonge,86,,
YONGE-UNIVERSTY AND BL,YONGE-UNIVERSTY AND BL,1,Sheppard–Yonge,86,,
YONGE/SHEPPARD,YONGE/SHEPPARD,1,Sheppard–Yonge,95,,
YONGE/UINVERSITY & BLO,YONGE/UINVERSITY & BLO,1,Sheppard–Yonge,86,,
YONGE/UNIVERISITY-BLOO,YONGE/UNIVERISITY-BLOO,1,Sheppard–Yonge,86,,
YONGE/UNIVERSITY & BLO,YONGE/UNIVERSITY & BLO,1,Sheppard–Yonge,86,,
YONGE/UNIVERSITY BLOOR,YONGE/UNIVERSITY BLOOR,1,Sheppard–Yonge,86,,
YONGE/UNIVERSITY-SPADI,YONGE/UNIVERSITY-SPADI,1,Sheppard–Yonge,86,,
YONGE/UNIVERSITY/ BLOO,YONGE/UNIVERSITY/ BLOO,1,Sheppard–Yonge,86,,
YONGE/UNIVESITY AND BL,YONGE/UNIVESITY AND BL,1,Sheppard–Yonge,86,,
YOONGE-UNIVERSITY SUBW,YOONGE-UNIVERSITY SUBW,1,York University,76,,
YORK MILLS,YORK MILLS,1,York Mills,100,1,
YORK MILLS (APPROACHIN,YORK MILLS (APPROACHIN,1,York Mills,90,,
YORK MILLS AND EGLINTO,YORK MILLS AND EGLINTO,1,York Mills,90,,
YORK MILLS CENTRE,YORK MILLS CENTRE,1,York Mills,90,,
YORK MILLS STATION (A,YORK MILLS (A,1,York Mills,95,,
YORK MILLS STATION (EN,YORK MILLS (EN,1,York Mills,95,,
YORK MILLS STATION - C,YORK MILLS - C,1,York Mills,95,,
YORK MILLS STATION TO,YORK MILLS TO,1,York Mills,95,,
YORK MILLS STATION [,YORK MILLS [,1,York Mills,100,1,
YORK MILLS STATION(APP,YORK MILLS(APP,1,York Mills,95,,
YORK MILLS TO EGLINTON,YORK MILLS TO EGLINTON,1,York Mills,90,,
YORK MILLS TO LAWRENCE,YORK MILLS TO LAWRENCE,1,York Mills,90,,
YORK MILLS TO SHEPPARD,YORK MILLS TO SHEPPARD,1,York Mills,90,,
YORK MILLS TO ST. CLAI,YORK MILLS TO ST. CLAI,1,York Mills,90,,
YORK UNIVERISTY STATIO,YORK UNIVERISTY,1,York University,93,1,
YORK UNIVERISTY TO PIO,YORK UNIVERISTY TO PIO,1,York Mills,86,,
YORK UNIVERSITY,YORK UNIVERSITY,1,York University,100,1,
YORKDALE STATION (APPR,YORKDALE (APPR,1,Yorkdale,90,,
YORKDALE STATION (EXIT,YORKDALE (EXIT,1,Yorkdale,90,,
YORKDALE TO DUPONT STA,YORKDALE TO DUPONT STA,1,Dupont,90,,
YORKDALE TO FINCH STAT,YORKDALE TO FINCH STAT,1,Finch,90,,
YORKDALE TO LAWRENCE W,YORKDALE TO LAWRENCE W,1,Lawrence,90,,
YORKDALE TO WILSON,YORKDALE TO WILSON,1,Yorkdale,90,,
YORKDLAE STATION,YORKDLAE,1,Yorkdale,88,,
YOUNG UNIVERSITY LINE,YOUNG UNIVERSITY LINE,1,York University,76,,
YOUNG-UNIVERSITY-SPADI,YOUNG-UNIVERSITY-SPADI,1,York University,76,,
YOUNGE UNIVERSITY LINE,YOUNGE UNIVERSITY LINE,1,York University,76,,
YOUNGE UNIVERSITY SPAD,YOUNGE UNIVERSITY SPAD,1,York University,76,,
YOUNGE-UNIVERSITY-SPAD,YOUNGE-UNIVERSITY-SPAD,1,York University,76,,
YU & BD,YU & BD,1,Sheppard–Yonge,51,,
YU & BD LINES,YU & BD LINES,1,Jane,51,,
YU LINE,YU LINE,1,Jane,60,,
YU-ST CLAIR STATION TO,YU-ST CLAIR TO,1,St. Clair,86,,
YUS AND BD SUBWAY,YUS AND BD SUBWAY,1,Bay,72,,
YUS AND BLOOR DANFORTH,YUS AND BLOOR DANFORTH,1,Bloor–Yonge,86,,
YUS LINE,YUS LINE,1,Jane,60,,
YUS/ BD,YUS/ BD,1,St. Patrick,49,,
YUS/BD,YUS/BD,1,Dundas West,45,,
YUS/BD/SRT,YUS/BD/SRT,1,Dundas West,48,,
ZONE 1,ZONE 1,1,Pioneer Village,60,,
ZONE 2,ZONE 2,1,Pioneer Village,60,,